,id,mass,area,loading,span,chord,aspect
0,1,0.558,2117.0441448620495,263.59085678695783,88.37574169921875,31.932517456054683,66.29743952306646
1,2,0.355,2427.6402966681135,146.2413111560471,95.74914111328124,33.204055664062494,73.11276433305116
2,3,0.644,2575.5996775993553,250.05385953468146,101.9354765625,34.015283203124994,75.7188955981626
3,4,0.377,2067.536179552359,182.3535780068569,84.57878686523436,32.632482421875,63.35822548904211
4,5,0.678,2791.808921768243,242.8678677516908,102.46035351562497,36.362671508789056,76.77678250602263
5,6,0.552,2507.1804598623594,220.1808481030942,100.96408300781249,33.42123083496093,75.01759801256854
6,7,0.491,2812.5830736883877,174.58309572917608,108.20642724609372,42.31769165039062,66.46352775866558
7,8,0.424,2131.8344378051956,198.9016747644579,85.10837036132811,35.4316962890625,60.16743935749068
8,9,0.571,2106.6570689019777,271.0618013864173,82.333986328125,34.48969812011718,61.080762770527265
9,10,0.488,2330.261459542439,209.43112542222087,81.38404394531248,37.361317382812494,62.37096608949984
10,11,0.398,1801.4802610750821,220.94268174910147,77.52118212890625,34.387566650390625,52.38754691165733
11,12,0.606,2167.4553341682686,279.6073120614309,83.92462866210937,34.61969201660156,62.60758568068384
12,13,0.458,2400.0919647740093,190.83747069797283,89.67005126953124,38.81528283691406,61.833684810650844
